,rank,Youtuber,subscribers,video views,video count,category,started
1,2,YouTube Movies,"154,000,000",0,0,Film & Animation,2015
6,7,MrBeast,"102,000,000","16,832,456,681",726,Entertainment,2012
7,8,âœ¿ Kids Diana Show,"99,700,000","79,602,288,245","1,009",People & Blogs,2015
8,9,Like Nastya,"99,200,000","81,963,845,811",702,People & Blogs,2016
11,12,Zee Music Company,"86,700,000","49,067,711,243","6,603",Music,2014
12,13,Vlad and Niki,"85,100,000","66,498,762,660",472,Entertainment,2018
13,14,5-Minute Crafts,"77,100,000","23,881,457,195","5,581",Howto & Style,2016
14,15,BLACKPINK,"76,200,000","24,707,415,704",397,People & Blogs,2016
16,17,Goldmines,"74,100,000","18,533,088,438","3,968",Film & Animation,2012
18,19,BANGTANTV,"70,000,000","17,471,090,750","1,787",Music,2012
21,22,Canal KondZilla,"65,900,000","36,576,704,790","2,313",Music,2012
24,25,Pinkfong Baby Shark - Kids' Songs & Stories,"59,400,000","32,107,290,522","2,374",Education,2011
26,27,ChuChu TV Nursery Rhymes & Kids Songs,"57,700,000","39,266,652,127",506,Education,2013
28,29,Marshmello,"55,700,000","13,445,424,556",401,Entertainment,2015
30,31,Wave Music,"53,400,000","37,230,876,862","18,622",Music,2014
34,35,T-Series Bhakti Sagar,"52,500,000","24,278,576,197","23,870",Music,2011
37,38,El Reino Infantil,"51,700,000","49,895,247,456","1,309",Music,2011
39,40,LooLoo Kids - Nursery Rhymes and Children's Songs,"49,800,000","29,013,984,394",553,Music,2014
42,43,Billie Eilish,"46,200,000","11,999,349,578",48,Music,2013
43,44,JuegaGerman,"46,100,000","13,698,034,536","1,959",Gaming,2013
44,45,BillionSurpriseToys - English Kids Songs & Cartoon,"45,700,000","8,590,657,189",648,Education,2013
45,46,Infobells - Hindi,"45,600,000","25,635,591,765",476,Education,2014
46,47,Badabun,"45,600,000","18,567,925,780","13,814",Entertainment,2014
47,48,Fernanfloo,"45,100,000","9,966,728,650",541,Gaming,2011
49,50,BRIGHT SIDE,"43,900,000","10,058,536,263","4,540",Howto & Style,2017
